COMPANY_CODE,STATE_CODE,PROGRAM_CODE,LINE_OF_BUSINESS,CITY,COUNTY_CODE,ZIP_CODE,LastOfADDRESS_LINE,LastOfCITY,LastOfSTATE_CODE,LastOfZIP_CODE,LastOfCOUNTY_CODE,PREMIUM_GROUP,TERRITORY_1_CODE
60,AL,R,25,Dauphin Island,097,36528,1405 OLEANDER LN,DAUPHIN ISLAND,AL,36528,097,,2
60,AL,R,25,Daviston,027,36256,,,,,,,1
60,AL,R,25,Daviston,123,36256,18975 GOLDVILLE RD,DAVISTON,AL,36256,123,,1
60,AL,R,25,Dawson,049,35963,,,,,,,1
60,AL,R,25,Dayton,091,36738,,,,,,,1
60,AL,R,25,Deatsville,001,36022,52 HIDDEN VALLEY RD,DEATSVILLE,AL,36022,001,,1
60,AL,R,25,Deatsville,051,36022,222 DEBBIE DR,DEATSVILLE,AL,36022,051,,1
60,AL,R,25,Decatur,079,35603,134 MCENTIRE LANE,DECATUR,AL,35603,079,,1
60,AL,R,25,Decatur,103,35601,903 BRITWOOD DR SW,DECATUR,AL,35601,103,,1
60,AL,R,25,Decatur,103,35603,2005 FRANKLIN AVE SW,DECATUR,AL,35603,103,,1
60,AL,R,25,Deer Park,129,36529,118 LIVE OAK RD,DEER PARK,AL,36529,129,,1
60,AL,R,25,Delta,027,36258,2293 MOUNT MORIAH RD,DELTA,AL,36258,027,,1
60,AL,R,25,Delta,029,36258,,,,,,,1
60,AL,R,25,Delta,111,36258,,,,,,,1
60,AL,R,25,Demopolis,091,36732,1709 ESTELLE DR,DEMOPOLIS,AL,36732,091,,1
60,AL,R,25,Detroit,075,35552,66815 HIGHWAY 17,DETROIT,AL,35552,075,,1
60,AL,R,25,Detroit,093,35552,501 EE KELLY RD,DETROIT,AL,35552,093,,1
60,AL,R,25,Dickinson,025,36436,,,,,,,1
60,AL,R,25,Dixiana,073,35126,5382 TYLER LOOP RD,DIXIANA,AL,35126,073,,1
60,AL,R,25,Dixons Mills,091,36736,,,,,,,1
60,AL,R,25,Dolomite,073,35061,3639 COMMISSARY ST,DOLOMITE,AL,35061,073,,1
60,AL,R,25,Dora,073,35062,7927 CRESVIEW DR,DORA,AL,35062,073,,1
60,AL,R,25,Dora,127,35062,27 PINEY RIDGE ST,DORA,AL,35062,127,,1
60,AL,R,25,Dothan,045,36303,100 CASTLE DRIVE,DOTHAN,AL,36303,045,,1
60,AL,R,25,Dothan,061,36301,1394 UNDERWOOD MILL RD,DOTHAN,AL,36301,061,,1
60,AL,R,25,Dothan,061,36305,903 ROSSI CIR,DOTHAN,AL,36305,061,,1
60,AL,R,25,Dothan,069,36301,105 WATKINS DR,DOTHAN,AL,36301,069,,1
60,AL,R,25,Dothan,069,36303,212 MAGNOLIA RIDGE PL,DOTHAN,AL,36303,069,,1
